Haplotype_1	Haplotype_2
FUN.rk.hap1.000458	FUN.rk.hap2.000478
FUN.rk.hap1.000459	FUN.rk.hap2.000480
FUN.rk.hap1.000460	FUN.rk.hap2.000481
FUN.rk.hap1.000461	FUN.rk.hap2.000482
FUN.rk.hap1.000462	FUN.rk.hap2.000484
FUN.rk.hap1.000463	FUN.rk.hap2.000485
FUN.rk.hap1.000464	FUN.rk.hap2.000486
FUN.rk.hap1.000466	FUN.rk.hap2.000489
FUN.rk.hap1.000468	FUN.rk.hap2.000490
FUN.rk.hap1.000469	FUN.rk.hap2.000491
FUN.rk.hap1.000470	FUN.rk.hap2.000492
FUN.rk.hap1.000472	FUN.rk.hap2.000493
FUN.rk.hap1.000473	FUN.rk.hap2.000494
FUN.rk.hap1.000474	FUN.rk.hap2.000495
FUN.rk.hap1.000475	FUN.rk.hap2.000496
FUN.rk.hap1.000476	FUN.rk.hap2.000497
FUN.rk.hap1.000477	FUN.rk.hap2.000499
FUN.rk.hap1.000478	FUN.rk.hap2.000500
FUN.rk.hap1.000479	FUN.rk.hap2.000501
FUN.rk.hap1.000480	FUN.rk.hap2.000503
FUN.rk.hap1.000486	FUN.rk.hap2.000506
FUN.rk.hap1.000487	FUN.rk.hap2.000507
FUN.rk.hap1.000488	FUN.rk.hap2.000508
FUN.rk.hap1.000489	FUN.rk.hap2.000509
FUN.rk.hap1.000490	FUN.rk.hap2.000510
FUN.rk.hap1.000492	FUN.rk.hap2.000511
FUN.rk.hap1.000493	FUN.rk.hap2.000512
FUN.rk.hap1.000495	FUN.rk.hap2.000514
FUN.rk.hap1.000496	FUN.rk.hap2.000515
FUN.rk.hap1.000497	FUN.rk.hap2.000516
FUN.rk.hap1.000498	FUN.rk.hap2.000517
FUN.rk.hap1.000500	FUN.rk.hap2.000519
FUN.rk.hap1.000501	FUN.rk.hap2.000520
FUN.rk.hap1.000503	FUN.rk.hap2.000521
FUN.rk.hap1.000504	FUN.rk.hap2.000522
FUN.rk.hap1.000506	FUN.rk.hap2.000526
FUN.rk.hap1.000508	FUN.rk.hap2.000528
FUN.rk.hap1.000509	FUN.rk.hap2.000529
FUN.rk.hap1.000511	FUN.rk.hap2.000530
FUN.rk.hap1.000512	FUN.rk.hap2.000531
FUN.rk.hap1.000513	FUN.rk.hap2.000532
FUN.rk.hap1.000514	FUN.rk.hap2.000533
FUN.rk.hap1.000515	FUN.rk.hap2.000534
FUN.rk.hap1.000516	FUN.rk.hap2.000535
FUN.rk.hap1.000517	FUN.rk.hap2.000538
FUN.rk.hap1.000518	FUN.rk.hap2.000539
FUN.rk.hap1.000519	FUN.rk.hap2.000541
FUN.rk.hap1.000520	FUN.rk.hap2.000542
FUN.rk.hap1.000522	FUN.rk.hap2.000545
FUN.rk.hap1.000525	FUN.rk.hap2.000549
FUN.rk.hap1.000526	FUN.rk.hap2.000550
FUN.rk.hap1.000527	FUN.rk.hap2.000551
FUN.rk.hap1.000528	FUN.rk.hap2.000552
FUN.rk.hap1.000529	FUN.rk.hap2.000553
FUN.rk.hap1.000531	FUN.rk.hap2.000554
FUN.rk.hap1.000535	FUN.rk.hap2.000558
FUN.rk.hap1.000536	FUN.rk.hap2.000559
FUN.rk.hap1.000543	FUN.rk.hap2.000565
FUN.rk.hap1.000544	FUN.rk.hap2.000566
FUN.rk.hap1.000545	FUN.rk.hap2.000567
FUN.rk.hap1.000546	FUN.rk.hap2.000568
FUN.rk.hap1.000547	FUN.rk.hap2.000569
FUN.rk.hap1.000549	FUN.rk.hap2.000570
FUN.rk.hap1.000553	FUN.rk.hap2.000571
FUN.rk.hap1.000555	FUN.rk.hap2.000573
FUN.rk.hap1.000556	FUN.rk.hap2.000574
FUN.rk.hap1.000557	FUN.rk.hap2.000575
FUN.rk.hap1.000560	FUN.rk.hap2.000577
FUN.rk.hap1.000561	FUN.rk.hap2.000579
FUN.rk.hap1.000562	FUN.rk.hap2.000582
FUN.rk.hap1.000563	FUN.rk.hap2.000583
FUN.rk.hap1.000567	FUN.rk.hap2.000586
FUN.rk.hap1.000568	FUN.rk.hap2.000587
FUN.rk.hap1.000569	FUN.rk.hap2.000588
FUN.rk.hap1.000570	FUN.rk.hap2.000589
FUN.rk.hap1.000571	FUN.rk.hap2.000590
FUN.rk.hap1.000572	FUN.rk.hap2.000591
FUN.rk.hap1.000576	FUN.rk.hap2.000595
FUN.rk.hap1.000577	FUN.rk.hap2.000596
FUN.rk.hap1.000578	FUN.rk.hap2.000597
FUN.rk.hap1.000579	FUN.rk.hap2.000598
FUN.rk.hap1.000580	FUN.rk.hap2.000599
FUN.rk.hap1.000581	FUN.rk.hap2.000600
FUN.rk.hap1.000582	FUN.rk.hap2.000601
FUN.rk.hap1.000589	FUN.rk.hap2.000608
FUN.rk.hap1.000591	FUN.rk.hap2.000610
FUN.rk.hap1.000595	FUN.rk.hap2.000615
FUN.rk.hap1.000602	FUN.rk.hap2.000621
FUN.rk.hap1.000604	FUN.rk.hap2.000622
FUN.rk.hap1.000605	FUN.rk.hap2.000623
FUN.rk.hap1.000606	FUN.rk.hap2.000624
FUN.rk.hap1.000607	FUN.rk.hap2.000626
FUN.rk.hap1.000611	FUN.rk.hap2.000628
FUN.rk.hap1.000612	FUN.rk.hap2.000629
FUN.rk.hap1.000613	FUN.rk.hap2.000630
FUN.rk.hap1.000614	FUN.rk.hap2.000631
FUN.rk.hap1.000618	FUN.rk.hap2.000635
FUN.rk.hap1.000619	FUN.rk.hap2.000636
FUN.rk.hap1.000621	FUN.rk.hap2.000637
FUN.rk.hap1.000622	FUN.rk.hap2.000638
FUN.rk.hap1.000623	FUN.rk.hap2.000639
FUN.rk.hap1.000624	FUN.rk.hap2.000640
FUN.rk.hap1.000625	FUN.rk.hap2.000641
FUN.rk.hap1.000626	FUN.rk.hap2.000644
FUN.rk.hap1.000627	FUN.rk.hap2.000645
FUN.rk.hap1.000628	FUN.rk.hap2.000646
FUN.rk.hap1.000631	FUN.rk.hap2.000649
FUN.rk.hap1.000632	FUN.rk.hap2.000650
FUN.rk.hap1.000633	FUN.rk.hap2.000651
FUN.rk.hap1.000634	FUN.rk.hap2.000652
FUN.rk.hap1.000635	FUN.rk.hap2.000653
FUN.rk.hap1.000636	FUN.rk.hap2.000654
FUN.rk.hap1.000637	FUN.rk.hap2.000655
FUN.rk.hap1.000638	FUN.rk.hap2.000656
FUN.rk.hap1.000639	FUN.rk.hap2.000657
FUN.rk.hap1.000640	FUN.rk.hap2.000658
FUN.rk.hap1.000644	FUN.rk.hap2.000659
FUN.rk.hap1.000645	FUN.rk.hap2.000660
FUN.rk.hap1.000646	FUN.rk.hap2.000661
FUN.rk.hap1.000647	FUN.rk.hap2.000662
FUN.rk.hap1.000648	FUN.rk.hap2.000663
FUN.rk.hap1.000649	FUN.rk.hap2.000664
FUN.rk.hap1.000651	FUN.rk.hap2.000665
FUN.rk.hap1.000652	FUN.rk.hap2.000666
FUN.rk.hap1.000653	FUN.rk.hap2.000667
FUN.rk.hap1.000655	FUN.rk.hap2.000669
FUN.rk.hap1.000656	FUN.rk.hap2.000670
FUN.rk.hap1.000657	FUN.rk.hap2.000671
FUN.rk.hap1.000658	FUN.rk.hap2.000672
FUN.rk.hap1.000660	FUN.rk.hap2.000674
FUN.rk.hap1.000661	FUN.rk.hap2.000676
FUN.rk.hap1.000662	FUN.rk.hap2.000677
FUN.rk.hap1.000664	FUN.rk.hap2.000678
FUN.rk.hap1.000665	FUN.rk.hap2.000679
FUN.rk.hap1.000670	FUN.rk.hap2.000685
FUN.rk.hap1.000675	FUN.rk.hap2.000686
FUN.rk.hap1.000676	FUN.rk.hap2.000687
FUN.rk.hap1.000677	FUN.rk.hap2.000688
FUN.rk.hap1.000678	FUN.rk.hap2.000689
FUN.rk.hap1.000679	FUN.rk.hap2.000690
FUN.rk.hap1.000680	FUN.rk.hap2.000691
FUN.rk.hap1.000681	FUN.rk.hap2.000692
FUN.rk.hap1.000682	FUN.rk.hap2.000693
FUN.rk.hap1.000683	FUN.rk.hap2.000694
FUN.rk.hap1.000684	FUN.rk.hap2.000695
FUN.rk.hap1.000685	FUN.rk.hap2.000696
FUN.rk.hap1.000686	FUN.rk.hap2.000697
FUN.rk.hap1.000687	FUN.rk.hap2.000698
FUN.rk.hap1.000688	FUN.rk.hap2.000699
FUN.rk.hap1.000689	FUN.rk.hap2.000700
FUN.rk.hap1.000690	FUN.rk.hap2.000701
FUN.rk.hap1.000691	FUN.rk.hap2.000702
FUN.rk.hap1.000692	FUN.rk.hap2.000703
FUN.rk.hap1.000693	FUN.rk.hap2.000704
FUN.rk.hap1.000695	FUN.rk.hap2.000705
FUN.rk.hap1.000698	FUN.rk.hap2.029791
FUN.rk.hap1.000701	FUN.rk.hap2.000706
FUN.rk.hap1.000702	FUN.rk.hap2.000707
FUN.rk.hap1.000703	FUN.rk.hap2.000709
FUN.rk.hap1.000704	FUN.rk.hap2.000712
FUN.rk.hap1.000705	FUN.rk.hap2.000714
FUN.rk.hap1.000706	FUN.rk.hap2.000715
FUN.rk.hap1.000707	FUN.rk.hap2.000716
FUN.rk.hap1.000710	FUN.rk.hap2.000718
FUN.rk.hap1.000711	FUN.rk.hap2.000719
FUN.rk.hap1.000712	FUN.rk.hap2.000720
FUN.rk.hap1.000714	FUN.rk.hap2.000721
FUN.rk.hap1.000715	FUN.rk.hap2.000722
FUN.rk.hap1.000716	FUN.rk.hap2.000723
FUN.rk.hap1.000717	FUN.rk.hap2.000724
FUN.rk.hap1.000718	FUN.rk.hap2.000726
FUN.rk.hap1.000719	FUN.rk.hap2.000728
FUN.rk.hap1.000720	FUN.rk.hap2.000729
FUN.rk.hap1.000721	FUN.rk.hap2.000730
FUN.rk.hap1.000722	FUN.rk.hap2.000732
FUN.rk.hap1.000723	FUN.rk.hap2.000733
FUN.rk.hap1.000725	FUN.rk.hap2.000734
FUN.rk.hap1.000726	FUN.rk.hap2.000736
FUN.rk.hap1.000727	FUN.rk.hap2.000738
FUN.rk.hap1.000728	FUN.rk.hap2.000739
FUN.rk.hap1.000730	FUN.rk.hap2.000741
FUN.rk.hap1.000731	FUN.rk.hap2.000742
FUN.rk.hap1.000732	FUN.rk.hap2.000743
FUN.rk.hap1.000734	FUN.rk.hap2.000745
FUN.rk.hap1.000737	FUN.rk.hap2.000747
FUN.rk.hap1.000738	FUN.rk.hap2.000748
FUN.rk.hap1.000739	FUN.rk.hap2.000749
FUN.rk.hap1.000740	FUN.rk.hap2.000750
FUN.rk.hap1.000741	FUN.rk.hap2.000751
FUN.rk.hap1.000742	FUN.rk.hap2.000752
FUN.rk.hap1.000745	FUN.rk.hap2.000755
FUN.rk.hap1.000748	FUN.rk.hap2.000757
FUN.rk.hap1.000749	FUN.rk.hap2.000758
FUN.rk.hap1.000751	FUN.rk.hap2.000760
FUN.rk.hap1.000752	FUN.rk.hap2.000761
FUN.rk.hap1.000753	FUN.rk.hap2.000762
FUN.rk.hap1.000754	FUN.rk.hap2.000763
FUN.rk.hap1.000757	FUN.rk.hap2.000764
FUN.rk.hap1.000759	FUN.rk.hap2.000766
FUN.rk.hap1.000760	FUN.rk.hap2.000773
FUN.rk.hap1.000761	FUN.rk.hap2.027749
FUN.rk.hap1.000762	FUN.rk.hap2.000775
FUN.rk.hap1.000763	FUN.rk.hap2.000777
FUN.rk.hap1.000764	FUN.rk.hap2.000778
FUN.rk.hap1.000765	FUN.rk.hap2.000779
FUN.rk.hap1.000767	FUN.rk.hap2.000781
FUN.rk.hap1.000768	FUN.rk.hap2.000782
FUN.rk.hap1.000773	FUN.rk.hap2.000784
FUN.rk.hap1.000775	FUN.rk.hap2.000786
FUN.rk.hap1.000776	FUN.rk.hap2.000788
FUN.rk.hap1.000777	FUN.rk.hap2.000789
FUN.rk.hap1.000778	FUN.rk.hap2.000790
FUN.rk.hap1.000779	FUN.rk.hap2.000791
FUN.rk.hap1.000780	FUN.rk.hap2.000792
FUN.rk.hap1.000782	FUN.rk.hap2.000795
FUN.rk.hap1.000783	FUN.rk.hap2.000796
FUN.rk.hap1.000786	FUN.rk.hap2.000799
FUN.rk.hap1.000787	FUN.rk.hap2.000800
FUN.rk.hap1.000788	FUN.rk.hap2.000801
FUN.rk.hap1.000789	FUN.rk.hap2.000802
FUN.rk.hap1.000790	FUN.rk.hap2.000803
FUN.rk.hap1.000791	FUN.rk.hap2.000804
FUN.rk.hap1.000792	FUN.rk.hap2.000805
FUN.rk.hap1.000794	FUN.rk.hap2.000806
FUN.rk.hap1.000795	FUN.rk.hap2.000809
FUN.rk.hap1.000796	FUN.rk.hap2.000810
FUN.rk.hap1.000797	FUN.rk.hap2.000811
FUN.rk.hap1.000798	FUN.rk.hap2.000812
FUN.rk.hap1.000800	FUN.rk.hap2.000813
FUN.rk.hap1.000801	FUN.rk.hap2.000814
FUN.rk.hap1.000802	FUN.rk.hap2.000815
FUN.rk.hap1.000803	FUN.rk.hap2.000816
FUN.rk.hap1.000805	FUN.rk.hap2.000817
FUN.rk.hap1.000807	FUN.rk.hap2.000819
FUN.rk.hap1.000808	FUN.rk.hap2.000820
FUN.rk.hap1.000809	FUN.rk.hap2.000821
FUN.rk.hap1.000810	FUN.rk.hap2.000822
FUN.rk.hap1.000812	FUN.rk.hap2.000823
FUN.rk.hap1.000813	FUN.rk.hap2.000824
FUN.rk.hap1.000814	FUN.rk.hap2.000825
FUN.rk.hap1.000818	FUN.rk.hap2.000828
FUN.rk.hap1.000820	FUN.rk.hap2.000830
FUN.rk.hap1.000822	FUN.rk.hap2.000832
FUN.rk.hap1.000823	FUN.rk.hap2.000833
FUN.rk.hap1.000824	FUN.rk.hap2.000834
FUN.rk.hap1.000825	FUN.rk.hap2.000835
FUN.rk.hap1.000826	FUN.rk.hap2.000836
FUN.rk.hap1.000829	FUN.rk.hap2.000839
FUN.rk.hap1.000830	FUN.rk.hap2.000840
FUN.rk.hap1.000831	FUN.rk.hap2.000841
FUN.rk.hap1.000833	FUN.rk.hap2.000843
FUN.rk.hap1.000834	FUN.rk.hap2.000844
FUN.rk.hap1.000835	FUN.rk.hap2.000845
